City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,itarema,-2.9248,-39.9167,25.16,82,100,3.81,BR,1675828613
83,mahebourg,-20.4081,57.7,26.25,83,40,5.14,MU,1675828613
84,winnemucca,40.973,-117.7357,2.89,59,89,1.94,US,1675828614
85,puerto ayora,-0.7393,-90.3518,25.86,92,44,2.24,EC,1675828614
86,punta arenas,-53.15,-70.9167,12.06,76,0,1.54,CL,1675828615
87,sobolevo,54.4299,31.8996,-15.37,99,66,2.05,RU,1675828615
88,lakes entrance,-37.8811,147.981,20.09,63,31,4.58,AU,1675828616
89,yellowknife,62.456,-114.3525,-19.69,84,100,3.09,CA,1675828496
90,sangueya,10.7,-14.3667,20.21,81,2,0.75,GN,1675828616
91,nizwa,22.9333,57.5333,21.42,39,29,0.5,OM,1675828617
92,beroroha,-21.6667,45.1667,22.83,83,100,0.85,MG,1675828617
93,iskateley,67.6803,53.1512,0.58,83,88,10.31,RU,1675828617
94,kaitangata,-46.2817,169.8464,14.92,49,21,6.62,NZ,1675828618
95,makakilo city,21.3469,-158.0858,26.18,71,75,5.66,US,1675828618
96,pontianak,-0.0333,109.3333,29.99,66,40,1.54,ID,1675828352
97,veraval,20.9,70.3667,24.28,47,6,3.68,IN,1675828619
98,sao joao da barra,-21.6403,-41.0511,23.14,94,100,1.57,BR,1675828348
99,hithadhoo,-0.6,73.0833,27.37,73,13,3.16,MV,1675828619
100,chake chake,-5.2459,39.7666,25.48,81,50,3.15,TZ,1675828619
101,deputatskiy,69.3,139.9,-41.27,98,51,1.56,RU,1675828620
102,tasiilaq,65.6145,-37.6368,-22.03,42,0,9.77,GL,1675828620
103,olinda,-8.0089,-34.8553,24.85,73,20,1.54,BR,1675828454
104,port lincoln,-34.7333,135.8667,24.39,53,33,4.11,AU,1675828400
105,valparaiso,-33.0393,-71.6273,15.8,94,0,3.6,CL,1675828621
106,bintulu,3.1667,113.0333,30.23,66,20,1.03,MY,1675828621
107,east london,-33.0153,27.9116,20.52,94,100,3.6,ZA,1675828622
108,kano,12.0001,8.5167,15.94,51,92,1.03,NG,1675828623
109,mar del plata,-38.0023,-57.5575,23.38,96,100,7.15,AR,1675828624
110,coihaique,-45.5752,-72.0662,16.34,72,75,1.54,CL,1675828626
111,constitucion,-35.3333,-72.4167,15.73,66,0,4.1,CL,1675828629
112,lavrentiya,65.5833,-171.0,-26.28,92,97,1.46,RU,1675828630
113,khatanga,71.9667,102.5,-43.9,100,63,1.4,RU,1675828363
114,magdagachi,53.45,125.8,-19.2,77,17,2.02,RU,1675828630
115,vung tau,10.346,107.0843,27.73,71,15,5.55,VN,1675828631
116,esmeralda,21.8525,-78.1169,23.26,78,20,5.97,CU,1675828632
117,omboue,-1.5746,9.2618,24.98,89,100,2.08,GA,1675828633
118,saskylakh,71.9167,114.0833,-33.95,100,100,0.53,RU,1675828559
119,acarau,-2.8856,-40.12,25.25,83,100,3.77,BR,1675828634
120,launceston,-41.45,147.1667,22.8,50,40,2.24,AU,1675828635
121,boffa,10.1667,-14.0333,22.5,83,4,1.13,GN,1675828635
122,kamojima,34.0667,134.35,12.9,55,19,6.32,JP,1675828637
123,touros,-5.1989,-35.4608,25.09,75,100,5.39,BR,1675828638
124,carbondale,37.7273,-89.2168,8.0,97,100,0.0,US,1675828546
125,ugoofaaru,5.6667,73.0,27.04,67,22,2.73,MV,1675828640
126,mnogovershinnyy,53.9353,139.9242,-25.14,82,81,1.09,RU,1675828642
127,ekhabi,53.5102,142.9671,-23.4,83,100,5.13,RU,1675828642
128,troy,42.6056,-83.1499,3.96,75,100,4.63,US,1675828643
129,umarkhed,19.6,77.7,25.13,25,1,3.5,IN,1675828644
130,te anau,-45.4167,167.7167,13.44,50,43,4.9,NZ,1675828646
131,beloha,-25.1667,45.05,23.6,74,100,3.04,MG,1675828648
132,nikolskoye,59.7035,30.7861,-1.06,86,100,4.34,RU,1675828364
133,dikson,73.5069,80.5464,-20.44,90,100,10.01,RU,1675828651
134,kenai,60.5544,-151.2583,-2.14,84,100,10.29,US,1675828652
135,rabo de peixe,37.8,-25.5833,11.73,87,75,5.14,PT,1675828492
136,sorong,-0.8833,131.25,26.92,80,100,2.97,ID,1675828652
137,kapit,2.0167,112.9333,33.06,51,81,0.26,MY,1675828653
138,new norfolk,-42.7826,147.0587,16.72,36,5,2.72,AU,1675828369
139,belle fourche,44.6714,-103.8522,5.73,64,2,4.94,US,1675828653
140,aklavik,68.2191,-135.0107,-28.96,96,100,3.53,CA,1675828654
141,socorro,31.6546,-106.3033,6.56,50,20,3.6,US,1675828654
142,ust-maya,60.4167,134.5333,-32.1,90,100,0.19,RU,1675828655
143,trairi,-3.2778,-39.2689,25.31,79,100,3.65,BR,1675828625
144,moyale,3.5167,39.0584,19.79,40,0,3.32,KE,1675828655
145,baker city,44.7749,-117.8344,2.84,79,75,1.14,US,1675828418
146,sakaiminato,35.55,133.2333,10.96,71,75,4.12,JP,1675828656
147,guerrero negro,27.9769,-114.0611,16.17,35,0,3.14,MX,1675828437
148,dalby,-27.1833,151.2667,32.21,29,36,1.79,AU,1675828656
149,gallup,35.5281,-108.7426,-0.58,72,100,0.0,US,1675828657
150,cape town,-33.9258,18.4232,21.06,76,20,6.26,ZA,1675828657
151,bilma,18.6853,12.9164,18.39,23,100,3.61,NE,1675828657
152,bonavista,48.6499,-53.1147,-3.37,70,94,10.33,CA,1675828658
153,waidhofen,48.5833,11.3333,-4.85,75,0,1.54,DE,1675828658
154,brae,60.3964,-1.353,6.8,73,100,13.47,GB,1675828658
155,fairbanks,64.8378,-147.7164,-14.0,78,100,0.0,US,1675828500
156,talcahuano,-36.7167,-73.1167,16.82,72,0,3.6,CL,1675828659
